date,value
20190606,3811
20190605,3818.59
20190604,3837.08
20190603,3809.34
20190531,3798.9
20190530,3817.18
20190529,3817.18
20190528,3875.79
20190524,3904.48
20190523,3868.39
20190522,3960.42
20190521,3969.25
20190520,3916.02
20190517,3948.14
20190516,3934.28
20190515,3855.23
20190514,3850.02
20190513,3806.17
20190510,3893.34
20190509,3850.87
20190508,3908.18
20190507,3928.98
20190506,3969.43
20190503,4013.97
20190502,4002.51
20190501,4031.38
20190430,4031.38
20190429,4086.9
20190426,4117.56
20190425,4135.17
20190424,4138.77
20190423,4166.6
20190422,4150.67
20190418,4150.67
20190417,4117.15
20190416,4145.22
20190415,4167.26
20190412,4187.86
20190411,4173.55
20190410,4171.93
20190409,4184.44
20190408,4216.42
20190405,4246.69
20190404,4232.15
20190403,4235.5
20190402,4172.41
20190401,4126.43
20190329,4030.84
20190328,4056.34
20190327,4097.65
20190326,4102.91
20190325,4096.31
20190322,4125.03
20190321,4222.51
20190320,4224.02
20190319,4278.36
20190318,4243.86
20190315,4217.6
20190314,4194.3
20190313,4123.46
20190312,4132.95
20190311,4119.23
20190308,4068.3
20190307,4090.42
20190306,4123.21
20190305,4145.97
20190304,4160.77
20190301,4164.46
20190228,4076.99
20190227,4110.36
20190226,4127.23
20190225,4099.63
20190222,4070.03
20190221,4065.47
20190220,4112.35
20190219,4094.29
20190215,4138.08
20190214,4102.4
20190213,4104.06
20190212,4081.97
20190211,4094.32
20190208,4063.28
20190207,4083.6
20190206,4125.51
20190205,4076.1
20190204,4018.45
20190201,3995.99
20190131,3982.68
20190130,4023.1
20190129,4037.56
20190128,4005.92
20190125,4055.18
20190124,4025.15
20190123,3999.69
20190122,4010.84
20190118,4027.84
20190117,3956.03
20190116,3941.58
20190115,3894.05
20190114,3873.75
20190111,3891.15
20190110,3901.24
20190109,3898.92
20190108,3865.15
20190107,3811.6
20190104,3807.9
20190103,3689.55
20190102,3714.13
20181231,3685.16
20181228,3685.16
20181227,3640.65
20181226,3689.83
20181224,3689.83
20181221,3689.83
20181220,3714.87
20181219,3801.01
20181218,3763.22
20181217,3779.43
20181214,3810.01
20181213,3806.16
20181212,3835.45
20181211,3730.29
20181210,3666.73
20181207,3729.57
20181206,3779.32
20181204,3779.32
20181203,3883.45
20181130,3792.81
20181129,3811.43
20181128,3803.04
20181127,3805.71
20181126,3842.1
20181123,3819.19
20181121,3811.18
20181120,3832.07
20181119,3899.11
20181116,3939.19
20181115,3914.85
20181114,3956.19
20181113,3978.43
20181112,3976.81
20181109,3988.52
20181108,4037.89
20181107,4029.21
20181106,3994.56
20181105,4007.9
20181102,4019.03
20181101,3950.13
20181031,3960.23
