Date (s),Itot (A)
1.16909e-11,0.0002430232662498749
1.17984e-11,0.0002411900628691386
1.19054e-11,0.0002393609076819111
1.20113e-11,0.0002375502381762523
1.21179e-11,0.0002357259250022505
1.2225e-11,0.0002338913817019075
1.23405e-11,0.0002319123492717756
1.24628e-11,0.0002298142061798097
1.25868e-11,0.000227697127976677
1.26959e-11,0.0002258456242417288
1.28209e-11,0.0002237116708820491
1.29481e-11,0.0002215396544268857
1.30767e-11,0.0002193395700147487
1.32063e-11,0.0002171235995253045
1.33369e-11,0.0002148898345207233
1.34687e-11,0.0002126380078522039
1.36018e-11,0.000210369897106885
1.37363e-11,0.0002080839205012976
1.38723e-11,0.0002057791819925222
1.40098e-11,0.0002034582656991106
1.41489e-11,0.0002011200975997469
1.42892e-11,0.0001987703313693758
1.44306e-11,0.0001964110554469393
1.45732e-11,0.0001940413030890421
1.47173e-11,0.0001916569754336323
1.48632e-11,0.0001892528399290242
1.5011e-11,0.0001868296615787949
1.51605e-11,0.0001843918476333555
1.53115e-11,0.0001819398645729936
1.54641e-11,0.0001794753640647782
1.56184e-11,0.0001769992642403276
1.57741e-11,0.0001745094312976917
1.59039e-11,0.0001724433467087913
1.60254e-11,0.0001705209974605379
1.61469e-11,0.0001686176785227229
1.628e-11,0.0001665323704557168
1.64354e-11,0.0001641183587637353
1.66004e-11,0.0001615710306395027
1.67672e-11,0.0001590149559245598
1.69354e-11,0.0001564865545615582
1.70754e-11,0.0001543817632568828
1.72368e-11,0.0001519740759416927
1.74077e-11,0.0001494427145199079
1.75808e-11,0.0001468969890984158
1.7755e-11,0.0001443607823551269
1.7922e-11,0.0001419539311362226
1.80977e-11,0.0001394475850722659
1.82753e-11,0.0001369423813488698
1.84543e-11,0.0001344465475267139
1.86345e-11,0.0001319605524978358
1.88161e-11,0.0001294843855998292
1.89991e-11,0.0001270178715565668
1.91836e-11,0.0001245611226118898
1.93693e-11,0.0001221181579705437
1.95562e-11,0.0001196901148989864
1.97445e-11,0.0001172675349067222
1.99013e-11,0.0001152768559061367
2.00413e-11,0.0001135268217301782
2.02094e-11,0.0001114407000357043
2.0401e-11,0.0001090840816398315
2.05607e-11,0.0001071691268270312
2.0704e-11,0.0001054563271780335
2.08761e-11,0.000103426030474323
2.1074e-11,0.0001011249007823316
2.12752e-11,9.882212757131817e-05
2.14778e-11,9.656142971422091e-05
2.16465e-11,9.46943904725535e-05
2.18485e-11,9.249514780493878e-05
2.20549e-11,9.028406522953749e-05
2.22629e-11,8.809375576836545e-05
2.24724e-11,8.59297569165695e-05
2.26833e-11,8.379311422538612e-05
2.28959e-11,8.168150183191422e-05
2.31105e-11,7.958149449522742e-05
2.32894e-11,7.78755162402687e-05
2.35037e-11,7.586225340681376e-05
2.37225e-11,7.385973068561135e-05
2.39047e-11,7.221035947675251e-05
2.41068e-11,7.041883997308793e-05
2.43269e-11,6.850859213358221e-05
2.45533e-11,6.661112272183813e-05
2.4742e-11,6.505420343364435e-05
2.49685e-11,6.321443624068088e-05
2.52011e-11,6.136704670696173e-05
2.54366e-11,5.953519586582542e-05
2.56329e-11,5.80541643100538e-05
2.58545e-11,5.641610305026906e-05
2.60934e-11,5.47086150458528e-05
2.62925e-11,5.330558410302381e-05
2.65314e-11,5.166591427142114e-05
2.67795e-11,5.001123430632946e-05
2.70304e-11,4.839321849576989e-05
2.72394e-11,4.707118366883997e-05
2.74829e-11,4.557526908235071e-05
2.77409e-11,4.403719674607605e-05
2.80036e-11,4.252069257064557e-05
2.82691e-11,4.10360206282031e-05
2.85365e-11,3.958826409532312e-05
2.88069e-11,3.817110171540014e-05
2.90812e-11,3.680714742724095e-05
2.93098e-11,3.568113539633139e-05
2.95795e-11,3.438721349042913e-05
2.98622e-11,3.30761757788791e-05
3.01505e-11,3.178905522830563e-05
3.04432e-11,3.053151441522953e-05
3.07398e-11,2.930433781275973e-05
3.10405e-11,2.810579525041387e-05
3.13453e-11,2.693598546302164e-05
3.16548e-11,2.579313900941488e-05
3.19691e-11,2.467680984511477e-05
3.22885e-11,2.358658259114514e-05
3.2613e-11,2.252278723247011e-05
3.29429e-11,2.148458254692141e-05
3.32784e-11,2.047185172659976e-05
3.36193e-11,1.948539058046799e-05
3.39652e-11,1.852612827913988e-05
3.43162e-11,1.759399671047603e-05
3.46722e-11,1.668888222955267e-05
3.50333e-11,1.581078287396104e-05
3.53981e-11,1.496206555176827e-05
3.57661e-11,1.414342443943111e-05
3.61368e-11,1.335511129489928e-05
3.64966e-11,1.262260632143735e-05
3.68444e-11,1.194359073611971e-05
3.71815e-11,1.131204222948453e-05
3.75088e-11,1.072255027951913e-05
3.78274e-11,1.017053263567461e-05
3.81382e-11,9.652042907531828e-06
3.8442e-11,9.163742570856837e-06
3.87395e-11,8.702762453014632e-06
3.90314e-11,8.266635957905124e-06
3.93182e-11,7.853166106547815e-06
3.96003e-11,7.460654583611154e-06
3.98781e-11,7.087619513695824e-06
4.0152e-11,6.73251751250413e-06
4.04224e-11,6.394024302111773e-06
4.06898e-11,6.070949745272941e-06
4.09546e-11,5.762241988532026e-06
4.1217e-11,5.466954901536392e-06
4.14776e-11,5.184224937578565e-06
4.17365e-11,4.913285434129181e-06
4.19942e-11,4.653462652185269e-06
4.22508e-11,4.4042204302355e-06
4.25065e-11,4.165260533422177e-06
